"contact_id","company_id","issue_id","specialization_id","contact_date","recontact_date","contact_status","communication_note"
7,966,77,27,2025-03-16,2025-03-28,REJECTED,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed
10,562,74,2,2025-01-03,2025-01-16,REJECTED,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent
13,355,4,2,2019-02-21,2019-03-03,REJECTED,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis
11,371,6,28,2019-04-23,,REJECTED,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus
14,350,36,61,2021-10-27,2021-11-03,REJECTED,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius
12,497,19,17,2020-05-29,,REJECTED,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc
3001,371,24,61,2020-10-31,,ACCEPTED,
18,704,75,3,2025-01-26,2025-02-07,REJECTED,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede
568,468,11,42,2019-09-12,2019-09-26,REJECTED,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta
574,291,83,24,2025-09-15,2025-09-26,REJECTED,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique
16,329,42,51,2022-04-23,,REJECTED,quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie
5,725,26,26,2020-12-16,2020-12-28,NO_RESPONSE,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus
19,755,90,55,2026-04-16,,REJECTED,quis turpis eget elit sodales
3002,254,30,57,2021-04-30,,ACCEPTED,
3003,601,50,37,2022-12-31,,ACCEPTED,
569,188,70,59,2024-08-22,2024-09-01,NO_RESPONSE,nibh in lectus pellentesque at nulla
571,44,58,53,2023-09-01,2023-09-09,NO_RESPONSE,leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac
3004,245,82,59,2025-08-31,,ACCEPTED,
582,715,85,49,2025-11-30,2025-12-09,NO_RESPONSE,congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam
584,255,61,25,2023-11-25,2023-12-09,NO_RESPONSE,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc
586,311,12,10,2019-10-31,2019-11-11,NO_RESPONSE,sagittis sapien cum sociis natoque penatibus
3005,964,26,56,2020-12-31,,ACCEPTED,
3006,193,37,62,2021-11-30,,ACCEPTED,
3007,83,10,34,2019-08-31,,ACCEPTED,
3008,646,27,51,2021-01-31,,ACCEPTED,
593,774,87,3,2026-01-17,2026-01-27,NO_RESPONSE,semper rutrum nulla nunc purus phasellus in felis donec semper sapien a
