"content_id","issue_id","section_id","company_id","catalog_item_id","author_id","specialization_id","content_description","materials_delivered","is_approved","posted_on_fb","applied_list_price","applied_discount_pct","agency_provision_pct","final_net_price"
299,15,1,371,15,,37,enim leo rhoncus sed vestibulum,true,true,true,77000.00,1.00,,76230.00
144,37,18,254,14,,34,in lectus,true,true,false,192500.00,,,192500.00
164,17,18,601,14,,6,viverra,true,true,false,192500.00,29.00,,136675.00
175,25,1,245,15,,51,molestie hendrerit at,true,true,true,77000.00,,,77000.00
178,37,16,964,12,,62,nibh in hac,true,true,false,175000.00,,,175000.00
214,36,18,193,14,,61,nullam orci pede,true,true,false,192500.00,,,192500.00
382,2,16,83,12,,14,mi sit,true,true,false,175000.00,,,175000.00
213,83,17,646,13,11,60,tellus,true,true,false,210000.00,21.00,,165900.00
220,6,1,520,15,,55,rhoncus,true,true,false,77000.00,,,77000.00
224,19,18,222,14,,50,mauris non ligula,true,true,true,192500.00,,,192500.00
228,77,1,170,15,,4,erat id mauris vulputate elementum,true,true,false,77000.00,,,77000.00
233,94,16,243,12,,8,in,true,true,true,175000.00,22.00,,136500.00
237,34,1,868,15,,37,in consequat ut nulla,true,true,true,77000.00,23.00,,59290.00
257,88,1,114,15,,12,aliquet massa id,true,true,false,77000.00,,,77000.00
323,44,18,972,14,,28,ante vestibulum,true,true,true,192500.00,,,192500.00
324,46,16,863,12,,33,dapibus at diam,true,true,false,175000.00,,,175000.00
361,63,1,678,15,,51,pede,true,true,false,77000.00,15.00,,65450.00
364,81,18,660,14,,14,id nisl venenatis lacinia,true,true,false,192500.00,,,192500.00
451,81,17,697,13,31,14,viverra pede ac diam,true,true,false,210000.00,19.00,,170100.00
400,50,1,513,15,,4,ac tellus semper interdum mauris,true,true,true,77000.00,23.00,,59290.00
426,78,18,766,14,,26,cursus id turpis,true,true,false,192500.00,,,192500.00
439,74,1,572,15,,38,in ante vestibulum ante,true,true,true,77000.00,,,77000.00
446,24,16,885,12,,31,fermentum donec,true,true,true,175000.00,11.00,,155750.00
266,25,21,32,14,4,63,lorem integer tincidunt ante vel,true,true,false,192500.00,,,192500.00
218,10,12,537,70,29,30,in sapien iaculis,true,true,false,0.00,,,0.00
234,50,5,820,67,19,39,donec diam neque,true,true,false,0.00,24.00,,0.00
250,45,19,199,71,30,14,libero convallis eget,true,true,false,0.00,,,0.00
255,88,4,210,65,23,12,vivamus vel nulla,true,true,false,0.00,18.00,,0.00
243,7,21,880,12,,6,pretium nisl ut volutpat sapien,true,true,false,175000.00,,1.00,173250.00
288,84,9,935,68,23,10,tincidunt eget tempus vel,true,true,false,0.00,23.00,,0.00
289,6,2,457,63,6,28,arcu,true,true,false,0.00,20.00,,0.00
290,82,7,854,71,10,34,cum sociis,true,true,false,0.00,14.00,,0.00
217,24,20,146,5,,10,nulla tellus in sagittis dui,true,true,false,80500.00,,,80500.00
83,27,19,722,12,,3,dui vel nisl duis,true,true,false,175000.00,,,175000.00
319,76,11,43,68,2,53,in tempor turpis nec euismod,true,true,false,0.00,,,0.00
321,6,14,413,64,7,57,dui,true,true,false,0.00,,,0.00
333,45,15,557,66,22,64,risus auctor,true,true,false,0.00,13.00,,0.00
341,31,5,989,73,18,39,risus praesent,true,true,false,0.00,5.00,,0.00
346,54,7,213,70,14,5,morbi vel,true,true,false,0.00,,,0.00
348,73,14,131,70,14,62,ridiculus mus vivamus vestibulum,true,true,false,0.00,,,0.00
352,29,20,145,72,17,59,tempus semper,true,true,false,0.00,6.00,,0.00
354,10,15,462,63,27,34,nascetur ridiculus,true,true,false,0.00,,15.00,0.00
359,50,20,549,69,23,38,blandit mi in porttitor,true,true,false,0.00,21.00,,0.00
362,59,21,476,63,10,23,posuere,true,true,false,0.00,,,0.00
183,12,12,231,49,,31,est lacinia nisi venenatis tristique,true,true,true,0.00,,,0.00
431,9,16,980,12,20,16,lorem ipsum dolor sit,true,true,false,175000.00,,,175000.00
434,92,18,951,14,7,55,interdum,true,true,false,192500.00,16.00,,161700.00
428,15,21,164,70,23,39,in leo,true,true,false,0.00,,,0.00
419,32,21,567,13,,10,blandit nam nulla,true,true,false,210000.00,,,210000.00
433,28,6,715,72,8,25,magnis dis parturient montes,true,true,false,0.00,27.00,,0.00
443,96,21,339,12,,31,blandit ultrices enim lorem ipsum,true,true,false,175000.00,,,175000.00
459,83,21,638,13,,60,aliquam augue,true,true,false,210000.00,,,210000.00
468,44,3,220,65,9,28,sagittis sapien cum,true,true,false,0.00,,,0.00
475,54,7,239,65,1,57,ultrices enim lorem,true,true,false,0.00,,,0.00
22,81,15,271,31,,14,volutpat sapien arcu,true,true,false,0.00,,,0.00
278,65,21,852,45,,27,in est risus,true,true,true,63000.00,,,63000.00
279,41,21,495,62,,8,sit,true,true,true,0.00,,,0.00
305,5,14,108,48,,43,aliquet massa,true,true,true,22750.00,12.00,,20020.00
502,64,21,13,13,,12,convallis,true,true,false,210000.00,,2.00,205800.00
503,38,10,276,72,9,4,sem mauris,true,true,false,0.00,9.00,,0.00
507,79,7,484,64,9,39,tellus,true,true,false,0.00,14.00,,0.00
510,82,13,75,63,10,30,lacus at,true,true,false,0.00,,,0.00
515,37,4,180,67,17,30,imperdiet nullam,true,true,false,0.00,30.00,,0.00
519,74,15,150,67,1,38,vel nulla eget eros elementum,true,true,false,0.00,,,0.00
523,35,12,811,68,2,12,purus sit,true,true,false,0.00,,,0.00
532,46,15,483,66,16,33,imperdiet nullam orci pede,true,true,false,0.00,,,0.00
512,85,5,233,35,,25,nulla,true,true,false,0.00,,,0.00
591,69,15,15,69,28,35,congue,true,true,false,0.00,,13.00,0.00
606,54,21,913,72,12,26,nascetur ridiculus mus etiam vel,true,true,false,0.00,,,0.00
617,35,7,219,66,5,55,eget,true,true,false,0.00,26.00,,0.00
622,67,15,202,63,12,37,justo in hac habitasse platea,true,true,false,0.00,,,0.00
625,62,3,916,66,20,39,ut,true,true,false,0.00,,,0.00
632,72,11,238,68,26,31,tincidunt eu,true,true,false,0.00,,,0.00
636,47,5,741,66,20,26,neque duis bibendum morbi,true,true,false,0.00,,,0.00
650,92,21,472,14,26,7,in,true,true,false,192500.00,,,192500.00
654,9,4,602,65,3,16,aliquam erat,true,true,false,0.00,,14.00,0.00
655,71,2,770,72,1,55,quis augue luctus tincidunt,true,true,false,0.00,,,0.00
540,90,6,312,32,,55,ac,true,true,false,0.00,,,0.00
25,77,21,136,9,,54,primis in faucibus,true,true,false,45500.00,3.00,,44135.00
687,34,21,557,13,31,16,hac habitasse platea,true,true,false,210000.00,13.00,,182700.00
693,53,8,889,63,19,54,vel enim sit,true,true,false,0.00,13.00,,0.00
698,12,20,850,68,31,31,posuere cubilia curae nulla dapibus,true,true,false,0.00,,,0.00
701,35,21,461,73,26,12,mauris vulputate,true,true,false,0.00,3.00,,0.00
724,19,12,334,67,17,50,vulputate ut ultrices,true,true,false,0.00,,,0.00
736,4,10,889,72,16,54,faucibus orci luctus,true,true,false,0.00,13.00,,0.00
745,58,5,226,71,16,8,ultrices,true,true,false,0.00,19.00,,0.00
750,76,10,594,72,27,26,sed tristique in,true,true,false,0.00,,,0.00
756,86,8,800,67,25,39,pretium,true,true,false,0.00,,,0.00
660,49,21,942,12,,11,aliquam sit amet diam in,true,true,true,175000.00,,,175000.00
787,75,6,988,72,15,3,morbi sem mauris,true,true,false,0.00,10.00,,0.00
791,26,6,695,69,23,4,volutpat convallis,true,true,false,0.00,,,0.00
824,36,21,846,13,5,61,orci luctus,true,true,false,210000.00,,,210000.00
785,24,14,539,18,,61,ultrices,true,true,false,9973.00,,,9973.00
832,73,6,888,68,31,62,lacus curabitur at ipsum,true,true,false,0.00,,,0.00
844,64,10,752,68,2,12,vivamus metus,true,true,false,0.00,,,0.00
845,92,8,932,73,18,7,bibendum felis sed,true,true,false,0.00,,,0.00
851,83,20,195,72,21,60,sodales sed,true,true,false,0.00,5.00,,0.00
865,77,7,420,63,13,54,mauris ullamcorper purus sit,true,true,false,0.00,,2.00,0.00
869,76,20,236,67,22,26,dictumst morbi,true,true,false,0.00,13.00,,0.00
874,24,6,584,64,29,10,curae donec pharetra magna vestibulum,true,true,false,0.00,,,0.00
752,90,14,32,1,,55,nulla ultrices aliquet maecenas leo,true,true,false,133000.00,,,133000.00
754,82,12,8,13,,34,cras in purus eu,true,true,false,210000.00,12.00,,184800.00
755,61,10,878,38,,1,libero ut,true,true,true,173250.00,,,173250.00
759,11,15,907,8,,42,vulputate luctus cum sociis natoque,true,true,false,45500.00,18.00,,37310.00
761,73,8,47,34,,32,vestibulum quam sapien,true,true,false,0.00,,,0.00
762,76,20,563,21,,26,dapibus,true,true,false,0.00,,,0.00
763,6,5,103,21,,28,urna ut tellus nulla,true,true,false,0.00,,,0.00
766,90,15,540,27,,57,eget tempus,true,true,false,0.00,,,0.00
902,60,21,864,67,2,10,consequat varius integer,true,true,false,0.00,,,0.00
